entity,coupled,degree,average-revs
src/code_maat/analysis/effort.clj,test/code_maat/analysis/effort_test.clj,100,5
src/code_maat/analysis/churn.clj,test/code_maat/analysis/churn_test.clj,89,15
src/code_maat/parsers/git.clj,test/code_maat/parsers/git_test.clj,80,24
src/code_maat/analysis/entities.clj,test/code_maat/analysis/entities_test.clj,76,7
src/code_maat/parsers/tfs.clj,test/code_maat/parsers/tfs_test.clj,75,8
src/code_maat/parsers/svn.clj,test/code_maat/parsers/svn_test.clj,72,18
src/code_maat/analysis/authors.clj,test/code_maat/analysis/authors_test.clj,72,13
src/code_maat/analysis/logical_coupling.clj,test/code_maat/analysis/logical_coupling_test.clj,60,27
test/code_maat/analysis/churn_test.clj,test/code_maat/end_to_end/churn_scenario_test.clj,57,11
test/code_maat/analysis/authors_test.clj,test/code_maat/analysis/test_data.clj,55,9
src/code_maat/analysis/churn.clj,test/code_maat/end_to_end/churn_scenario_test.clj,54,11
src/code_maat/parsers/hiccup_based_parser.clj,test/code_maat/parsers/git_test.clj,46,20
src/code_maat/parsers/hiccup_based_parser.clj,src/code_maat/parsers/mercurial.clj,44,14
src/code_maat/analysis/authors.clj,src/code_maat/analysis/entities.clj,41,12
src/code_maat/parsers/git.clj,src/code_maat/parsers/mercurial.clj,40,18
src/code_maat/analysis/authors.clj,test/code_maat/analysis/test_data.clj,40,13
src/code_maat/app/app.clj,src/code_maat/core.clj,36,44
src/code_maat/parsers/git.clj,src/code_maat/parsers/hiccup_based_parser.clj,36,22
src/code_maat/app/app.clj,test/code_maat/end_to_end/scenario_tests.clj,35,49
src/code_maat/core.clj,test/code_maat/end_to_end/scenario_tests.clj,34,32
src/code_maat/parsers/mercurial.clj,test/code_maat/parsers/git_test.clj,33,15
src/code_maat/analysis/authors.clj,src/code_maat/core.clj,32,22
